row_index,run_id,graph_type,n,edge_u,edge_v,delta_obs,baseline_Kc_csv,new_Kc_csv,dK_da_pred,sign_match,Kc_from_continuation,Kc_refined,augment_res_norm,Hx_condition_number,linear_system_residual
213,1759451292_28,er,17,3,13,0.01,1.0600000000000631,1.0700000000000631,0.09729974541019623,True,1.0600000000000631,1.0599999995683704,1.1474944424035488e-15,7847404479966.434,8.30637514618105e-15
214,1759451292_28,er,17,6,16,0.01,1.0600000000000631,1.0700000000000631,11.909528571332313,True,1.0600000000000631,1.0599999995683704,1.1474944424035488e-15,7847404479966.434,1.1699774015447436e-12
215,1759451296_29,rgn,12,0,1,0.3499999999999925,3.7200000000000273,4.07000000000002,3.7305110253840574,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.9805188469182915e-14
216,1759451296_29,rgn,12,0,2,1.2799999999999727,3.7200000000000273,5.0,-0.7018449505805783,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.8999828074779876e-14
217,1759451296_29,rgn,12,0,3,1.2799999999999727,3.7200000000000273,5.0,-0.6778486700616905,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,4.842104985885821e-14
218,1759451296_29,rgn,12,0,4,1.2799999999999727,3.7200000000000273,5.0,-0.33144385604583326,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,8.76836669531608e-15
219,1759451296_29,rgn,12,0,7,1.2799999999999727,3.7200000000000273,5.0,-0.24452520735122193,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.2528086135628431e-14
220,1759451296_29,rgn,12,0,10,0.1599999999999966,3.7200000000000273,3.880000000000024,3.963791484477663,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.1551144730454612e-14
221,1759451296_29,rgn,12,1,2,1.2799999999999727,3.7200000000000273,5.0,-2.557803222781872,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.6091577049374248e-14
222,1759451296_29,rgn,12,1,3,1.2799999999999727,3.7200000000000273,5.0,-1.1059098255697868,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.2897232847541611e-14
223,1759451296_29,rgn,12,1,6,1.2799999999999727,3.7200000000000273,5.0,-0.21697152274094214,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,8.862639963171218e-15
224,1759451296_29,rgn,12,1,7,0.4899999999999895,3.7200000000000273,4.210000000000017,1.9458383177610261,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,9.752409128896279e-15
225,1759451296_29,rgn,12,1,9,1.2799999999999727,3.7200000000000273,5.0,-0.19430881681996756,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,8.365754196725972e-15
226,1759451296_29,rgn,12,1,11,1.2799999999999727,3.7200000000000273,5.0,-0.07207499359888576,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,3.2254415298025303e-15
227,1759451296_29,rgn,12,2,3,1.2799999999999727,3.7200000000000273,5.0,-0.5036291152268407,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.6342321587435807e-14
228,1759451296_29,rgn,12,2,5,1.2799999999999727,3.7200000000000273,5.0,-1.7126520936472138,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,3.0603830925238764e-14
229,1759451296_29,rgn,12,2,6,1.2799999999999727,3.7200000000000273,5.0,1.1000260864674447,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.5364124825488442e-14
230,1759451296_29,rgn,12,2,7,1.2799999999999727,3.7200000000000273,5.0,-0.8458002354220681,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.354519451765896e-14
231,1759451296_29,rgn,12,2,8,1.2799999999999727,3.7200000000000273,5.0,-0.6480737204525353,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.3196941497379294e-14
232,1759451296_29,rgn,12,2,9,1.2799999999999727,3.7200000000000273,5.0,-0.25154912936126084,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,3.965953050521851e-15
233,1759451296_29,rgn,12,2,10,1.2799999999999727,3.7200000000000273,5.0,-2.4568681415291156,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,4.8465501121903007e-14
234,1759451296_29,rgn,12,2,11,1.2799999999999727,3.7200000000000273,5.0,-1.4869089937745,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.778961946438008e-14
235,1759451296_29,rgn,12,3,5,0.7399999999999842,3.7200000000000273,4.4600000000000115,0.9552441641576522,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.2301323351863954e-14
236,1759451296_29,rgn,12,3,6,0.2599999999999944,3.7200000000000273,3.9800000000000217,3.3988148444242086,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.8666805162817463e-14
237,1759451296_29,rgn,12,3,8,1.2799999999999727,3.7200000000000273,5.0,-0.48926574678456225,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.944259111423625e-14
238,1759451296_29,rgn,12,3,9,0.3099999999999934,3.7200000000000273,4.030000000000021,2.6691523788634535,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.8988108792350224e-14
239,1759451296_29,rgn,12,3,10,1.2799999999999727,3.7200000000000273,5.0,-0.5404798243015841,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,5.338075691821388e-15
240,1759451296_29,rgn,12,3,11,1.169999999999975,3.7200000000000273,4.890000000000002,1.302408828450562,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,9.664171489812474e-15
241,1759451296_29,rgn,12,4,5,1.2799999999999727,3.7200000000000273,5.0,-2.296158582017222,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.6668671018580976e-14
242,1759451296_29,rgn,12,4,6,1.2799999999999727,3.7200000000000273,5.0,0.2372233395842916,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,3.841973862156624e-15
243,1759451296_29,rgn,12,4,7,1.2799999999999727,3.7200000000000273,5.0,-0.7022470386686198,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.810526912526091e-14
244,1759451296_29,rgn,12,4,8,1.2799999999999727,3.7200000000000273,5.0,-0.33824930778388385,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.3642882230768897e-14
245,1759451296_29,rgn,12,4,9,1.2799999999999727,3.7200000000000273,5.0,-1.1176599519088746,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.268887767113891e-14
246,1759451296_29,rgn,12,4,10,1.2799999999999727,3.7200000000000273,5.0,-2.709161295047104,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,3.4161678338244577e-14
247,1759451296_29,rgn,12,4,11,1.2799999999999727,3.7200000000000273,5.0,-2.1388295663221397,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.4663360792868884e-14
248,1759451296_29,rgn,12,5,6,1.2799999999999727,3.7200000000000273,5.0,-0.11917070042829198,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,7.958770348466038e-15
