K,r,eigval_0,eigval_1,eigval_2,eigval_3,eigval_4,eigval_5,eigval_6,eigval_7,eigval_8,eigval_9,eigval_10,eigval_11
0.8260000000002201,0.9634054263165199,-6.0362603322003086,-4.737409006003605,-4.205572617055982,-3.8030046763099894,-3.4297247964897783,-3.1395349229910074,-2.9510502182230347,-2.4424764272856168,-1.7608891242605986,-1.4313403688497524,-0.6733139575761417,-1.130882608159504e-15
0.8270000000002201,0.9634999069019773,-6.044195425435763,-4.743740521548332,-4.211159793419632,-3.8080224259483897,-3.434383611110787,-3.143753983804916,-2.9549710811167578,-2.445718402761932,-1.763456425182366,-1.4332722980107484,-0.6742472150903788,5.29508182492403e-16
0.8280000000002201,0.9635940124315349,-6.052129649474483,-4.7500713351069805,-4.216746267374343,-3.8130396425399438,-3.439041652159558,-3.147972434247695,-2.958891157709902,-2.448959941829046,-1.7660229925470192,-1.435203868929091,-0.6751802633573912,-3.8638184374869364e-16
0.8290000000002201,0.9636877449444202,-6.060063007985337,-4.756401449215132,-4.222332041820887,-3.818056328119376,-3.4436989229161337,-3.1521902770893355,-2.962810452684597,-2.4522010465153863,-1.768588829943497,-1.4371350834782814,-0.67611310345774,-7.059449975202184e-16
0.8300000000002201,0.9637811064655951,-6.067995504615441,-4.76273086639552,-4.227917119644107,-3.823072484711018,-3.448355426643511,-3.156407515080144,-2.9667289706864994,-2.4554417188360036,-1.7711539409364487,-1.4390659435181212,-0.6770457364641841,7.319427565513841e-17
0.8310000000002201,0.9638740990058798,-6.075927142990324,-4.769059589158115,-4.233501503713043,-3.828088114328861,-3.4530111665877556,-3.1606241509509787,-2.9706467163251125,-2.4586819607926746,-1.773718329066466,-1.440996450894844,-0.6779781634417649,-1.5348225539856869e-15
0.8320000000002201,0.9639667245620751,-6.0838579267141135,-4.7753876200002185,-4.239085196881028,-3.8331032189766328,-3.4576661459780587,-3.164840187413448,-2.974563694174133,-2.461921774374027,-1.7762819978502769,-1.442926607441246,-0.6789103854478422,9.850711147270088e-16
0.8330000000002201,0.9640589851170824,-6.09178785936968,-4.781714961406545,-4.244668201985788,-3.838117800647863,-3.462320368026846,-3.169055627160124,-2.978479908771781,-2.4651611615556304,-1.7788449507809585,-1.4448564149768128,-0.6798424035322123,1.9921754352113713e-15
0.8340000000002201,0.9641508826400245,-6.099716944518826,-4.788041615849316,-4.250250521849571,-3.843131861325945,-3.466973835929844,-3.173270472864741,-2.982395364621118,-2.4684001243001537,-1.7814071913281426,-1.446785875307834,-0.6807742187371496,4.481158393062468e-16
0.8350000000002201,0.9642424190863633,-6.107645185702429,-4.79436758578835,-4.255832159279224,-3.8481454029842,-3.471626552866175,-3.1774847271824083,-2.986310066190371,-2.4716386645574304,-1.7839687229381989,-1.4487149902275402,-0.6817058320974761,2.0242214321014494e-15
0.8360000000002201,0.9643335963980171,-6.115572586440614,-4.800692873671133,-4.261413117066301,-3.8531584275859414,-3.476278521998435,-3.181698392749803,-2.99022401791326,-2.474876784264601,-1.786529549034469,-1.4506437615162162,-0.6826372446406395,-1.199757389029421e-15
0.8370000000002201,0.964424416503476,-6.123499150232912,-4.807017481932924,-4.266993397987186,-3.858170937084548,-3.4809297464727837,-3.1859114721853596,-2.9941372241893087,-2.478114485346198,-1.7890896730174313,-1.4525721909413267,-0.6835684573867796,-1.2683822790504845e-16
