K,r,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11
2.510000000000054,0.9978926573425955,0.0,-0.08971251226363144,0.00979605797122658,-0.14920217476484754,-0.05970487807738742,-0.12767685709968973,0.010075374920330069,-0.0518096668309971,-0.06233937877173885,-0.12974761729507836,-0.06715650077694577,-0.20967750089689588
2.511000000000054,0.9978943446069563,0.0,-0.089676628365128,0.009792116199392627,-0.1491424462550265,-0.05968091447628209,-0.12762573697016258,0.010071342922963602,-0.051788919840859274,-0.0623143622398083,-0.1296956650232603,-0.06712956485195948,-0.2095933991744176
2.5120000000000537,0.9978960298420438,0.0,-0.0896407732245384,0.009788177614790077,-0.14908276567207598,-0.05965697017910313,-0.12757465787044758,0.010067314159223644,-0.05176818950640749,-0.062289365854640774,-0.1296437544528912,-0.0671026506030685,-0.20950936513435006
2.5130000000000536,0.9978977130511171,0.0,-0.08960494680722954,0.009784242213535072,-0.1490231329581823,-0.0596330451624439,-0.1275236197510341,0.010063288625212259,-0.051747475807537066,-0.062264389591816106,-0.12959188553364379,-0.06707575800402522,-0.2094253986947282
2.5140000000000535,0.9978993942374281,0.0,-0.08956914907862398,0.009780309991750214,-0.14896354805562487,-0.059609139402935586,-0.1274726225624913,0.010059266317037727,-0.051726778724175665,-0.06223943342695375,-0.1295400582152719,-0.06704888702862448,-0.20934149977371974
2.5150000000000534,0.9979010734042231,0.0,-0.08953338000419973,0.00977638094556464,-0.14890401090677574,-0.05958525287724699,-0.1274216662554677,0.010055247230814933,-0.05170609823628303,-0.06221449733571225,-0.12948827244761002,-0.06702203765070312,-0.20925766828962453
2.5160000000000533,0.9979027505547408,0.0,-0.0894976395494905,0.00977245507111353,-0.14884452145410026,-0.059561385562085165,-0.12737075078069174,0.010051231362664625,-0.051685434323851594,-0.06218958129379008,-0.12943652818057386,-0.0669952098441409,-0.2091739041608751
2.517000000000053,0.9979044256922142,0.0,-0.08946192768008515,0.009768532364538575,-0.14878507964015603,-0.05953753743419449,-0.12731987608897088,0.010047218708714056,-0.05166478696690571,-0.062164685276924724,-0.12938482536415963,-0.06696840358285935,-0.20909020730603556
2.518000000000053,0.997906098819869,0.0,-0.08942624436162812,0.009764612821987446,-0.14872568540759348,-0.05951370847035743,-0.1272690421311922,0.010043209265096515,-0.05164415614550227,-0.06213980926089328,-0.1293331639484443,-0.06694161884082264,-0.20900657764380215
2.519000000000053,0.9979077699409258,0.0,-0.08939058955981873,0.009760696439614374,-0.14866633869915502,-0.0594898986473938,-0.12721824885832142,0.010039203027951594,-0.05162354183972998,-0.0621149532215118,-0.12928154388358493,-0.06691485559203668,-0.20892301509300223
2.520000000000053,0.997909439058597,0.0,-0.08935496324041141,0.009756783213579838,-0.14860703945767514,-0.059466107942160826,-0.1271674962214033,0.010035199993425172,-0.051602944029709615,-0.06209011713463547,-0.12922996511981877,-0.06688811381054936,-0.20883951957259433
2.5210000000000528,0.99791110617609,0.0,-0.0893193653692155,0.009752873140050461,-0.14854778762608023,-0.059442336331553346,-0.1271167841715613,0.010031200157669236,-0.05158236269559399,-0.062065300976158505,-0.1291784276074633,-0.06686139347045064,-0.20875609100166798
2.5220000000000526,0.9979127712966052,0.0,-0.08928379591209538,0.009748966215199006,-0.14848858314738866,-0.059418583792503636,-0.12706611265999762,0.010027203516841785,-0.05156179781756799,-0.062040504722014334,-0.12912693129691577,-0.06683469454587238,-0.20867272929944336
