K,r,eigval_0,eigval_1,eigval_2,eigval_3,eigval_4,eigval_5,eigval_6,eigval_7,eigval_8,eigval_9
2.762000000000026,0.994754697691609,-17.41614891548102,-15.542626634669894,-14.683596919134896,-13.708062731266992,-11.552685186952976,-10.359159452532753,-6.972042093097426,-6.170785912475021,-2.4222297977005485,2.3180908921869145e-15
2.763000000000026,0.9947585166632186,-17.422517846478968,-15.548320476919713,-14.688955645202395,-13.71310012289933,-11.55692941679177,-10.362953292232396,-6.974608067486352,-6.173058031375292,-2.42311642593943,1.3267230082708846e-15
2.764000000000026,0.9947623314569567,-17.42888675424764,-15.554014295095467,-14.694314355896486,-13.718137486943608,-11.56117362363596,-10.366747115828556,-6.977174026855109,-6.175330134855862,-2.4240030504299477,3.5407733080200155e-15
2.765000000000026,0.9947661420789273,-17.43525563881262,-15.559708089223278,-14.69967305123392,-13.723174823430513,-11.565417807511327,-10.370540923339213,-6.979739971219845,-6.17760222293545,-2.424889671176472,8.962130450135675e-16
2.7660000000000258,0.994769948535225,-17.44162450019946,-15.565401859329231,-14.70503173123141,-13.72821213239068,-11.569661968443594,-10.374334714782323,-6.982305900596717,-6.179874295632686,-2.4257762881833678,4.7858323720867425e-17
2.7670000000000257,0.9947737508319315,-17.44799333843361,-15.571095605439378,-14.710390395905648,-13.733249413854715,-11.57390610645846,-10.378128490175843,-6.984871815001842,-6.182146352966229,-2.426662901454971,-5.372102377750362e-15
2.7680000000000256,0.9947775489751187,-17.4543621535406,-15.576789327579714,-14.715749045273293,-13.738286667853165,-11.578150221581577,-10.381922249537656,-6.9874377144513184,-6.184418394954658,-2.4275495109956404,3.945746321582532e-15
2.7690000000000254,0.9947813429708456,-17.4607309455458,-15.582483025776218,-14.721107679351006,-13.74332389441653,-11.58239431383858,-10.385715992885657,-6.990003598961246,-6.186690421616579,-2.428436116809712,-8.511983039093898e-16
2.7700000000000253,0.9947851328251625,-17.467099714474642,-15.588176700054825,-14.726466298155406,-13.748361093575284,-11.586638383255032,-10.389509720237701,-6.992569468547642,-6.188962432970492,-2.429322718901525,-7.093301155145421e-15
2.771000000000025,0.9947889185441068,-17.473468460352404,-15.59387035044143,-14.731824901703067,-13.75339826535983,-11.59088242985647,-10.393303431611622,-6.995135323226569,-6.191234429034924,-2.4302093172753967,1.5778372579778175e-15
2.772000000000025,0.9947927001337059,-17.47983718320448,-15.599563976961885,-14.737183490010587,-13.758435409800542,-11.595126453668412,-10.397097127025207,-6.997701163014015,-6.193506409828363,-2.4310959119356506,1.455520960628851e-15
2.773000000000025,0.9947964775999756,-17.486205883056098,-15.605257579642021,-14.7425420630945,-13.763472526927748,-11.599370454716322,-10.400890806496232,-7.000266987925985,-6.19577837536925,-2.4319825028866005,-5.932588441567147e-16
2.774000000000025,0.9948002509489209,-17.49257455993249,-15.610951158507612,-14.747900620971327,-13.768509616771714,-11.603614433025617,-10.404684470042465,-7.002832797978437,-6.198050325676001,-2.432869090132548,-1.4451536644548785e-15
2.775000000000025,0.9948040201865361,-17.49894321385887,-15.616644713584414,-14.753259163657566,-13.773546679362697,-11.607858388621686,-10.408478117681613,-7.005398593187304,-6.200322260767018,-2.4337556736777906,1.5713366998657191e-15
2.7760000000000247,0.9948077853188042,-17.505311844860426,-15.622338244898131,-14.758617691169713,-13.778583714730866,-11.612102321529873,-10.41227174943136,-7.007964373568496,-6.202594180660633,-2.4346422535266266,3.1564883479163987e-16
2.7770000000000246,0.9948115463516976,-17.51168045296223,-15.628031752474442,-14.763976203524198,-13.783620722906386,-11.616346231775504,-10.41606536530939,-7.010530139137935,-6.204866085375205,-2.4355288296833413,3.8238934719518865e-15
2.7780000000000244,0.9948153032911774,-17.51804903818944,-15.633725236338972,-14.769334700737456,-13.788657703919338,-11.62059011938384,-10.419858965333344,-7.013095889911468,-6.207137974929021,-2.4364154021522104,5.132760482031102e-15
2.7790000000000243,0.9948190561431947,-17.524417600567045,-15.639418696517328,-14.77469318282589,-13.79369465779979,-11.624833984380137,-10.423652549520844,-7.015661625904958,-6.209409849340342,-2.4373019709375034,-2.4455066221100605e-15
2.7800000000000242,0.9948228049136887,-17.530786140120085,-15.645112133035076,-14.78005164980589,-13.798731584577752,-11.629077826789567,-10.427446117889474,-7.018227347134234,-6.211681708627407,-2.4381885360434943,-4.027358095402955e-15
