K,r,converged,min_eigval,max_eigval,max_real,num_unstable,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
2.719000000000031,0.9962229397558862,True,-18.38113599540129,-1.5169113591666775e-15,-2.598344229209323,0,0.0,-0.1159761569022326,-0.02156889189677945,-0.1862601767160025,-0.09859519097891085,-0.18433848744811,-0.01718583827365813,-0.12004630357883521,-0.0669182517815458,-0.2934855313650133
2.720000000000031,0.9962257383301458,True,-18.387969264756414,-2.2686591974464172e-15,-2.5993122903518557,0,0.0,-0.11593329375569927,-0.02156092900730017,-0.18619131052841859,-0.09855872379954687,-0.1842703166196617,-0.017179583789662042,-0.12000200815270615,-0.06689373928851271,-0.29337654772798716
2.7210000000000307,0.9962285337867854,True,-18.39480250675565,5.487815994349546e-16,-2.600280346596462,0,0.0,-0.11589046236514268,-0.021552972008069483,-0.18612249539170933,-0.09852228366871098,-0.18420219634365365,-0.017173333830989186,-0.11995774546415822,-0.06686924471024933,-0.29326764542051303
2.7220000000000306,0.9962313261304464,True,-18.401635721429763,-2.364145059408082e-15,-2.6012483979489214,0,0.0,-0.11584766269519045,-0.021545020892539176,-0.18605373124896557,-0.0984858705562277,-0.18413412656370673,-0.017167088392760443,-0.11991351547684258,-0.06684476802716839,-0.2931588243511029
2.7230000000000305,0.9962341153657629,True,-18.408468908809436,-2.3181817200124157e-15,-2.60221644441501,0,0.0,-0.11580489471052291,-0.02153707565417083,-0.1859850180433631,-0.09844948443196667,-0.184066107223526,-0.017160847470103692,-0.11986931815446436,-0.06682030921971113,-0.2930500844284065
2.7240000000000304,0.9962369014973586,True,-18.41530206892534,3.693115385349514e-16,-2.6031844860004894,0,0.0,-0.1157621583758729,-0.021529136286435702,-0.18591635571816226,-0.09841312526584241,-0.18399813826690034,-0.017154611058153805,-0.11982515346078253,-0.06679586826834732,-0.29294142556121144
2.7250000000000303,0.9962396845298496,True,-18.42213520180809,-2.018571817008157e-15,-2.604152522711115,0,0.0,-0.11571945365602572,-0.021521202782814716,-0.18584774421670788,-0.0983767930278142,-0.18393021963770234,-0.017148379152052484,-0.11978102135960966,-0.06677144515357494,-0.2928328476584427
2.72600000000003,0.9962424644678429,True,-18.42896830748825,-3.0723364411416257e-15,-2.605120554552634,0,0.0,-0.11567678051581909,-0.02151327513679855,-0.18577918348242925,-0.09834048768788627,-0.1838623512798883,-0.017142151746948508,-0.11973692181481205,-0.06674703985592043,-0.29272435062916213
2.72700000000003,0.9962452413159375,True,-18.43580138599632,4.656667535298462e-15,-2.6060885815307913,0,0.0,-0.11563413892014285,-0.021505353341887325,-0.1857106734588395,-0.09830420921610722,-0.18379453313749766,-0.017135928837997368,-0.11969285479030924,-0.06672265235593829,-0.2926159343825688
2.72800000000003,0.9962480150787234,True,-18.442634437362805,-2.6741989338652143e-15,-2.607056603651299,0,0.0,-0.11559152883393928,-0.021497437391591198,-0.18564221408953624,-0.09826795758257065,-0.18372676515465367,-0.017129710420361738,-0.11964882025007462,-0.0666982826342116,-0.29250759882799837
2.72900000000003,0.9962507857607826,True,-18.449467461618113,-4.256339657051168e-15,-2.608024620919888,0,0.0,-0.11554895022220245,-0.021489527279429543,-0.18557380531820059,-0.09823173275741437,-0.18365904727556223,-0.01712349648921099,-0.1196048181581345,-0.06667393067135133,-0.2923993438749227
2.7300000000000297,0.9962535533666872,True,-18.45630045879264,-4.952571047799966e-15,-2.6089926333422597,0,0.0,-0.11550640304997853,-0.021481622998931464,-0.1855054470885974,-0.09819553471082056,-0.18359137944451231,-0.017117287039721225,-0.11956084847856835,-0.06664959644799638,-0.29229116943294964
