K,r,eigval_no_gauge_0,eigval_no_gauge_1,eigval_no_gauge_2,eigval_no_gauge_3,eigval_no_gauge_4,eigval_no_gauge_5,eigval_no_gauge_6,eigval_no_gauge_7,eigval_no_gauge_8,eigval_no_gauge_9,eigval_no_gauge_10
1.0280000000002172,0.9792698941161422,-7.3904464428608385,-6.622677677674542,-5.313054419132202,-4.667290179863209,-4.385661875608432,-4.214758007314427,-3.336904551368341,-3.114894528962752,-2.208785108343713,-1.7936149203335487,-0.8264240932890161
1.029000000000217,0.9793119564395307,-7.3980219024492175,-6.629634874203717,-5.318455965251605,-4.672083219011034,-4.390134948617107,-4.219099243140567,-3.3404505535817783,-3.1181102472695374,-2.211179100614147,-1.7954642243274597,-0.8272931429692759
1.030000000000217,0.9793538887880329,-7.405596974361167,-6.63659149878679,-5.323857271041189,-4.676876016652423,-4.394607799990761,-4.223440181497342,-3.3439961821007698,-3.1213257497208695,-2.213572795258707,-1.797313400422422,-0.8281621100076588
1.0310000000002169,0.9793956917058287,-7.413171659779662,-6.643547553318571,-5.329258337251276,-4.681668573459753,-4.399080430449607,-4.227780823470975,-3.3475414382671156,-3.124541037080271,-2.215966193347149,-1.7991624490830078,-0.8290309947137958
1.0320000000002167,0.979437365734202,-7.420745959882732,-6.650503039685313,-5.334659164628971,-4.686460890103018,-4.403552840710628,-4.232121170142212,-3.3510863234161503,-3.1277561101074323,-2.2183592959439173,-1.8010113707714728,-0.8298997973957059
1.0330000000002166,0.9794789114115585,-7.42831987584347,-6.6574579597647485,-5.340059753918201,-4.691252967249879,-4.408025031487604,-4.236461222586356,-3.354630838876788,-3.1309709695582524,-2.2207521041081972,-1.8028601659477386,-0.8307685183598261
1.0340000000002165,0.9795203292734451,-7.4358934088300614,-6.66441231542611,-5.345460105859704,-4.696044805565621,-4.4124970034911035,-4.240800981873306,-3.3581749859715364,-3.13418561618485,-2.2231446188939135,-1.8047088350694263,-0.8316371579109859
1.0350000000002164,0.9795616198525673,-7.443466560005833,-6.671366108530235,-5.350860221191042,-4.700836405713207,-4.416968757428523,-4.245140449067584,-3.3617187660165557,-3.1374000507355952,-2.225536841349804,-1.806557378591853,-0.8325057163524497
1.0360000000002163,0.9796027836788093,-7.451039330529255,-6.678319340929571,-5.35626010064667,-4.705627768353261,-4.421440294004099,-4.249479625228383,-3.365262180321696,-3.140614273955121,-2.227928772519414,-1.808405796968071,-0.8333741939859104
1.0370000000002162,0.9796438212792505,-7.458611721553983,-6.685272014468249,-5.3616597449578896,-4.71041889414409,-4.4259116139189265,-4.2538185114095866,-3.368805230190524,-3.1438282865843825,-2.230320413441171,-1.8102540906488642,-0.8342425911115134
1.038000000000216,0.9796847331781854,-7.466183734228872,-6.692224130982098,-5.3670591548529085,-4.715209783741688,-4.430382717870976,-4.258157108659814,-3.3723479169203636,-3.1470420893606423,-2.232711765148375,-1.812102260082764,-0.8351109080278483
1.039000000000216,0.97972551989714,-7.473755369698003,-6.699175692298738,-5.372458331056831,-4.720000437799742,-4.434853606555109,-4.262495418022442,-3.375890241802337,-3.150255683017504,-2.2351028286692665,-1.8139503057160764,-0.8359791450319707
